property_id,lat,lng,addr_street,suburb,Lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
78983,-37.960427,145.148101,33 Moncur Avenue,SPRINGVALE,GREATER BENDIGO,19913.0,1.3029726984766816,36.0,1.0,0.0,0.0,0.0,0.0
5906,-37.785894,144.862955,9 Hargreaves Crescent,BRAYBROOK,HUME,20022.0,1.4868515301807967,17.0,1.0,332.0,214.0,155.0,80.0
56143,-37.851322,145.114777,11 Gillard Street,BURWOOD,MARIBYRNONG,19840.0,2.4915146569087847,not available,0.0,22.0,7.0,5.0,3.0
29799,-37.764441,144.991833,251 St. Georges Road,NORTHCOTE,MURRINDINDI,20015.0,0.46119753892699406,29.0,1.0,0.0,0.0,0.0,0.0
70521,-37.874767,145.10347,14 Binalong Avenue,CHADSTONE,MELTON,19840.0,0.7684430031351821,not available,0.0,87.0,28.0,19.0,10.0
46609,-37.711917,145.142389,14 Diamond Street,ELTHAM,FRANKSTON,19987.0,0.5117969445589676,52.0,1.0,3.0,3.0,2.0,1.0
22473,-37.751644,144.950073,28 Queen Street,COBURG,MOONEE VALLEY,19966.0,1.0814329060011034,21.0,1.0,41.0,17.0,12.0,6.0
96017,-37.908819,145.027519,6 Clee Street,MCKINNON,HORSHAM,19940.0,0.9611933561437078,28.0,1.0,0.0,0.0,0.0,0.0
41417,-37.743133,145.085198,10 Nestan Court,VIEWBANK,MANNINGHAM,19936.0,1.6778051289762999,36.0,1.0,11.0,6.0,4.0,2.0
72488,-37.853567,145.24781,58 Tamar Street,BAYSWATER,INDIGO,19870.0,2.2200335882478117,41.0,1.0,-1.0,0.0,0.0,0.0
30606,-37.757875,144.998942,11 Smith Street,THORNBURY,LATROBE,20014.0,0.31595814049111925,31.0,1.0,2.0,2.0,1.0,0.0
18609,-37.685389,144.926919,3 Blair Street,BROADMEADOWS,WODONGA,20030.0,0.6943087981030401,32.0,1.0,3.0,0.0,0.0,0.0
88730,-37.952451,145.028925,28 Highland Avenue,HIGHETT,GREATER DANDENONG,19872.0,1.2216234301949558,37.0,1.0,36.0,9.0,6.0,3.0
53358,-37.822392,145.01004,46 Stawell Street,RICHMOND,EAST GIPPSLAND,19906.0,0.6154020167276592,8.0,1.0,1.0,0.0,0.0,0.0
45292,-37.718613,145.097098,56 Warralong Avenue,GREENSBOROUGH,GLEN EIRA,19984.0,1.4487114284362757,42.0,1.0,15.0,4.0,2.0,1.0
29562,-37.771868,145.010004,17 Tanner Grove,NORTHCOTE,MURRINDINDI,19929.0,0.8293866277153231,24.0,1.0,0.0,0.0,0.0,0.0
61065,-37.826912,145.226502,1/2 Sussex Street,RINGWOOD,MACEDON RANGES,19902.0,1.2463439437994097,34.0,1.0,1.0,1.0,1.0,0.0
72163,-37.841065,145.260838,2/2 Harris Grove,BAYSWATER,INDIGO,19870.0,0.645846964892073,41.0,1.0,-1.0,0.0,0.0,0.0
66923,-37.739788,145.345677,11 Glenloth Avenue,LILYDALE,FRANKSTON,19876.0,1.7601147290649863,51.0,1.0,3.0,3.0,2.0,1.0
37694,-37.646133,145.034881,7 Elliott Close,EPPING,FRANKSTON,20005.0,0.8127987396154223,51.0,1.0,3.0,3.0,2.0,1.0
58815,-37.807123,145.183946,29 Lemon Grove,NUNAWADING,STONNINGTON,19900.0,1.4025230414731362,31.0,1.0,19.0,4.0,3.0,1.0
9735,-37.892331,144.640469,11 Sonia Court,WERRIBEE,LODDON,19921.0,1.9762434377309974,not available,0.0,0.0,0.0,0.0,0.0
43594,-37.71656,145.090455,20 Gabonia Avenue,WATSONIA,MANNINGHAM,19984.0,0.856157994167318,42.0,1.0,11.0,6.0,4.0,2.0
22436,-37.74042,144.980536,27 Elizabeth Street,COBURG,MOONEE VALLEY,19965.0,1.5291329257329869,23.0,1.0,41.0,17.0,12.0,6.0
8518,-37.764495,144.785117,43 Minvi Tce,CAIRNLEA,YARRA RANGES,20003.0,2.2883768229751427,26.0,1.0,5.0,3.0,2.0,1.0
2430,-37.811394,144.876328,66 Edgar Street,KINGSVILLE,ALPINE,19996.0,1.295269227905084,not available,0.0,0.0,0.0,0.0,0.0
1009,-37.796748,144.902247,41 Lynch Street,FOOTSCRAY,WHITTLESEA,20025.0,0.4897719939524122,10.0,1.0,152.0,69.0,45.0,23.0
64135,-37.803411,145.30051,2a Allaware Avenue,CROYDON,CARDINIA,19878.0,1.9635397047709247,42.0,1.0,25.0,10.0,5.0,3.0
88096,-37.940516,145.050025,14 Rosebud Avenue,MOORABBIN,MANSFIELD,19872.0,1.1346322148172538,37.0,1.0,0.0,0.0,-0.0,0.0
55606,-37.838,145.078802,39 Glyndon Road,CAMBERWELL,MELBOURNE,19850.0,0.7246017496568894,23.0,1.0,23.0,11.0,8.0,5.0
81128,-37.97977,145.21645,3 Olive St,DANDENONG,CARDINIA,19888.0,1.279368820172324,46.0,1.0,25.0,10.0,5.0,3.0
15613,-37.734917,144.883713,22 Haldane Road,NIDDRIE,MANSFIELD,20036.0,3.5511398314280633,19.0,1.0,0.0,0.0,-0.0,0.0
96162,-37.906715,145.035324,7 Queen Street,ORMOND,MOIRA,19940.0,0.47784184309448374,28.0,1.0,0.0,0.0,-0.0,-0.0
47851,-37.810174,145.045014,13 Annadale Street,KEW,SOUTH GIPPSLAND,19903.0,1.3627287984894496,14.0,1.0,2.0,0.0,0.0,0.0
54352,-37.814748,145.022503,2A Grove Road,HAWTHORN,YARRA,19905.0,0.7886712517889858,10.0,1.0,15.0,7.0,5.0,3.0
6274,-37.789709,144.837759,17 McKay Street,SUNSHINE,KNOX,20021.0,0.4487719013310516,20.0,1.0,23.0,5.0,3.0,2.0
45402,-37.693728,145.103515,7 Birrakay Court,GREENSBOROUGH,GLEN EIRA,19985.0,1.2122510606364965,46.0,1.0,15.0,4.0,2.0,1.0
96189,-37.905743,145.051512,728 North Road,ORMOND,MOIRA,19941.0,1.0824114341278726,27.0,1.0,0.0,0.0,-0.0,-0.0
69966,-37.867795,145.085854,33 Warner Avenue,ASHBURTON,DAREBIN,19847.0,0.5478195456299291,28.0,1.0,41.0,21.0,15.0,8.0
58331,-37.817228,145.14362,8 Broomhill Avenue,BLACKBURN,GREATER GEELONG,19897.0,0.4713483877638809,27.0,1.0,1.0,2.0,2.0,1.0
58361,-37.814761,145.147194,8 Tyrrell Avenue,BLACKBURN,GREATER GEELONG,19898.0,0.6409631915075598,26.0,1.0,1.0,2.0,2.0,1.0
77257,-37.944825,145.108355,50 Jacobs Drive,CLARINDA,BULOKE,19915.0,2.4841264028399546,31.0,1.0,0.0,0.0,0.0,0.0
76943,-37.912171,145.126988,62 Marshall Avenue,CLAYTON,HINDMARSH,19915.0,1.503642855602084,31.0,1.0,0.0,0.0,0.0,0.0
90055,-37.962563,145.050568,15 Gilford Grove,CHELTENHAM,YARRA RANGES,19866.0,0.5740949421968818,40.0,1.0,5.0,3.0,2.0,1.0
59759,-37.823409,145.199596,28 Sunshine Avenue,MITCHAM,PORT PHILLIP,19900.0,0.9002671398145294,31.0,1.0,25.0,8.0,5.0,3.0
44082,-37.717255,145.093155,10 Warralong Avenue,GREENSBOROUGH,GLEN EIRA,19984.0,1.0821100735085623,42.0,1.0,15.0,4.0,2.0,1.0
13646,-37.754818,144.913803,1/22a Violet Street,ESSENDON,NILLUMBIK,20037.0,0.24913639014263148,16.0,1.0,4.0,1.0,1.0,1.0
8707,-37.747757,144.781803,9 NewHaven Way,CAIRNLEA,YARRA RANGES,20002.0,1.6381965069983264,28.0,1.0,5.0,3.0,2.0,1.0
40356,-37.698018,145.073424,30 Judith Street,BUNDOORA,WODONGA,19984.0,1.705545975497904,42.0,1.0,3.0,0.0,0.0,0.0
47949,-37.801552,145.051178,16 Campbell Street,KEW,SOUTH GIPPSLAND,19903.0,2.367494108788104,14.0,1.0,2.0,0.0,0.0,0.0
